@startDocuBlock errorCodes 
################################################################################

## General errors

################################################################################



ERROR_NO_ERROR,0,"no error","No error has occurred."

ERROR_FAILED,1,"failed","Will be raised when a general error occurred."

ERROR_SYS_ERROR,2,"system error","Will be raised when operating system error occurred."

ERROR_OUT_OF_MEMORY,3,"out of memory","Will be raised when there is a memory shortage."

ERROR_INTERNAL,4,"internal error","Will be raised when an internal error occurred."

ERROR_ILLEGAL_NUMBER,5,"illegal number","Will be raised when an illegal representation of a number was given."

ERROR_NUMERIC_OVERFLOW,6,"numeric overflow","Will be raised when a numeric overflow occurred."

ERROR_ILLEGAL_OPTION,7,"illegal option","Will be raised when an unknown option was supplied by the user."

ERROR_DEAD_PID,8,"dead process identifier","Will be raised when a PID without a living process was found."

ERROR_NOT_IMPLEMENTED,9,"not implemented","Will be raised when hitting an unimplemented feature."

ERROR_BAD_PARAMETER,10,"bad parameter","Will be raised when the parameter does not fulfill the requirements."

ERROR_FORBIDDEN,11,"forbidden","Will be raised when you are missing permission for the operation."

ERROR_OUT_OF_MEMORY_MMAP,12,"out of memory in mmap","Will be raised when there is a memory shortage."

ERROR_CORRUPTED_CSV,13,"csv is corrupt","Will be raised when encountering a corrupt csv line."

ERROR_FILE_NOT_FOUND,14,"file not found","Will be raised when a file is not found."

ERROR_CANNOT_WRITE_FILE,15,"cannot write file","Will be raised when a file cannot be written."

ERROR_CANNOT_OVERWRITE_FILE,16,"cannot overwrite file","Will be raised when an attempt is made to overwrite an existing file."

ERROR_TYPE_ERROR,17,"type error","Will be raised when a type error is encountered."

ERROR_LOCK_TIMEOUT,18,"lock timeout","Will be raised when there's a timeout waiting for a lock."

ERROR_CANNOT_CREATE_DIRECTORY,19,"cannot create directory","Will be raised when an attempt to create a directory fails."

ERROR_CANNOT_CREATE_TEMP_FILE,20,"cannot create temporary file","Will be raised when an attempt to create a temporary file fails."

ERROR_REQUEST_CANCELED,21,"canceled request","Will be raised when a request is canceled by the user."

ERROR_DEBUG,22,"intentional debug error","Will be raised intentionally during debugging."

ERROR_IP_ADDRESS_INVALID,25,"IP address is invalid","Will be raised when the structure of an IP address is invalid."

ERROR_FILE_EXISTS,27,"file exists","Will be raised when a file already exists."

